epoch,train_loss,train_acc,val_loss,val_acc
1,3.9732515959444634,0.21756487025948104,6.499906215261905,0.07313829787234043
2,4.497228731754196,0.12004562303963502,6.55333689425854,0.09441489361702128
3,4.291261168807057,0.14086113487311092,6.567735063268783,0.09308510638297872
4,4.143979697272347,0.15312232677502138,6.5901602075455035,0.10904255319148937
5,4.090026179983434,0.15739948674080412,6.477132168221981,0.12632978723404256
6,3.913965827486676,0.18192187054462503,6.518017505077606,0.13164893617021275
7,3.7524715281634173,0.19019104647847163,6.464851501140188,0.13297872340425532
8,3.614499548952023,0.20330767037353864,6.5517318806749705,0.15824468085106383
9,3.2409723877804826,0.2606216139150271,6.597214526318489,0.17420212765957446
10,3.044977789017629,0.2919874536641004,6.602882162053534,0.1768617021276596
11,2.9156604764602245,0.313373253493014,6.730095701014742,0.19414893617021275
12,2.84744197397039,0.32249786142001713,6.654577011757708,0.1981382978723404
13,2.8062070887891664,0.3236384374108925,6.610180702615292,0.21010638297872342
14,2.625653881138806,0.35614485315084116,6.645550646680467,0.22739361702127658
15,2.496108764591875,0.369546621043627,6.657817505775614,0.2393617021276596
16,2.3263827082707667,0.41146278870829767,6.61370975413221,0.25398936170212766
17,2.1695092780181477,0.4488166524094668,6.713481598712028,0.261968085106383
18,1.9892953759691876,0.4875962360992301,6.774949124518861,0.26728723404255317
19,1.9454207521644724,0.5001425719988595,6.821785094890188,0.2646276595744681
20,1.813985014560048,0.5355004277159966,6.797030083676602,0.2726063829787234
21,1.7757484258189988,0.5238095238095238,6.698672051125384,0.2925531914893617
22,1.6348733744255526,0.5680068434559452,6.808501142136594,0.2845744680851064
23,1.5052935188232,0.5968063872255489,6.825980003843916,0.30319148936170215
24,1.3452457736488215,0.6301682349586541,6.917072641088607,0.30851063829787234
25,1.2772552258002305,0.6475620188195038,6.962476994128937,0.30851063829787234
26,1.326049062986132,0.6395779868833761,6.897016474541197,0.3125
27,1.212238791392065,0.6703735386370117,6.9602414394946805,0.300531914893617
28,1.102485562767913,0.6977473624180212,7.0084084957203965,0.30319148936170215
29,1.1018660058314418,0.7065868263473054,6.929889323863577,0.3191489361702128
30,1.071997504051438,0.7097234103222128,6.862857291039,0.33643617021276595
31,0.96163909809862,0.7482178500142572,6.937804435161834,0.3191489361702128
32,0.9816697875862622,0.7199885942400912,6.938851031851261,0.3257978723404255
33,0.9058707433784318,0.7465069860279441,6.9230765484749,0.3377659574468085
34,0.8595172150253332,0.7656116338751069,7.04894250504514,0.33111702127659576
35,0.89445431258966,0.7507841459937268,7.059596609562002,0.3337765957446808
