epoch,train_loss,train_acc,val_loss,val_acc
1,8.156754026529896,0.0,8.128809502784241,0.0
2,8.130224032112428,0.0,8.121051321638392,0.0013297872340425532
3,8.10178888955618,0.00028514399771884804,8.026878590279438,0.0
4,8.047035189819772,0.000855431993156544,7.975010729850607,0.0
5,8.017972463483241,0.0011405759908753922,7.934277311284491,0.0
6,7.975137738036675,0.0,7.873398070639753,0.0
7,7.912363377057965,0.000855431993156544,7.848867964237295,0.0
8,7.865428571045688,0.001710863986313088,7.8059781460051845,0.0013297872340425532
9,7.814907529464909,0.0025662959794696323,7.756842308856071,0.0
10,7.7508285356308955,0.00285143997718848,7.7233469841328075,0.0013297872340425532
11,7.658214820903151,0.003421727972626176,7.59501244159455,0.0013297872340425532
12,7.5540704175145805,0.00142571998859424,7.5478480927487634,0.0013297872340425532
13,7.421048618090401,0.006558311947533505,7.500859108377011,0.0026595744680851063
14,7.376055974854273,0.004562303963501569,7.449331973461395,0.0026595744680851063
15,7.286957213774617,0.006558311947533505,7.41755828451603,0.003989361702127659
16,7.20622067754684,0.007698887938408896,7.345485423473602,0.003989361702127659
17,7.10648586826852,0.007698887938408896,7.314009686733814,0.003989361702127659
18,7.009225016072635,0.007698887938408896,7.249029890019843,0.006648936170212766
19,6.93771047173384,0.010835471913316224,7.201380871711893,0.009308510638297872
20,6.830986881990326,0.01140575990875392,7.156040130777562,0.009308510638297872
21,6.726454832970603,0.009694895922440832,7.104008806512711,0.009308510638297872
22,6.603070274186604,0.014827487881380098,7.0677480494722404,0.006648936170212766
23,6.4758705767872735,0.017964071856287425,7.025324273616709,0.013297872340425532
24,6.3623631583138485,0.023096663815226688,6.971767831355967,0.018617021276595744
25,6.237948804354443,0.0213857998289136,6.9371639109672385,0.026595744680851064
26,6.13225603035654,0.027944111776447105,6.852148756067804,0.02526595744680851
27,5.96933101200466,0.03307670373538637,6.788512128464719,0.031914893617021274
28,5.818965548560733,0.03649843170801255,6.721842136788876,0.034574468085106384
29,5.701525566072793,0.035642999714856,6.689550825890074,0.03856382978723404
30,5.565381731033869,0.047619047619047616,6.629252738140999,0.04521276595744681
31,5.355570809195991,0.05132591958939264,6.610219103224734,0.05452127659574468
32,5.190502699739681,0.058454519532363844,6.530508193563907,0.0625
33,5.019093479904858,0.06814941545480467,6.4726121679265445,0.07313829787234043
34,4.825093935859622,0.08240661534074707,6.4746791961345265,0.07845744680851063
35,4.7143462667582146,0.08468776732249786,6.443108629673086,0.09973404255319149
