epoch,train_loss,train_accuracy,train_top5_accuracy,val_loss,val_accuracy,val_top5_accuracy,lr
1,8.253308409600303,0.0,0.0,8.174438517144386,0.0,0.0,0.002
2,8.152416957488656,0.0,0.0005702879954376961,8.13618410394547,0.0,0.0,0.002
3,8.138980863846909,0.0005702879954376961,0.0011405759908753922,8.133207057384734,0.0013297872340425532,0.0013297872340425532,0.002
4,8.137675640757756,0.000855431993156544,0.0025662959794696323,8.133418874537691,0.0013297872340425532,0.0013297872340425532,0.002
5,8.137234689164849,0.000855431993156544,0.0022811519817507843,8.133261457402655,0.0013297872340425532,0.0013297872340425532,0.002
6,8.13688859567025,0.000855431993156544,0.0025662959794696323,8.133636758682576,0.0013297872340425532,0.0013297872340425532,0.002
7,8.136435051878056,0.000855431993156544,0.001710863986313088,8.133313077561398,0.0013297872340425532,0.0013297872340425532,0.002
8,8.136022968036619,0.000855431993156544,0.001996007984031936,8.133793648253096,0.0013297872340425532,0.0013297872340425532,0.002
9,8.13605038964038,0.000855431993156544,0.00142571998859424,8.133643454693733,0.0013297872340425532,0.0013297872340425532,0.002
10,8.135258041829983,0.000855431993156544,0.001710863986313088,8.133891876707686,0.0013297872340425532,0.0013297872340425532,0.002
11,8.134894035465534,0.000855431993156544,0.001996007984031936,8.134045580600171,0.0013297872340425532,0.0013297872340425532,0.002
12,8.134602777020422,0.000855431993156544,0.0025662959794696323,8.134214320081346,0.0013297872340425532,0.0013297872340425532,0.002
13,8.134250510884446,0.000855431993156544,0.0025662959794696323,8.134184695304707,0.0013297872340425532,0.0013297872340425532,0.002
14,8.13425013643063,0.000855431993156544,0.0022811519817507843,8.134340225382054,0.0013297872340425532,0.0013297872340425532,0.002
15,8.13468315052721,0.000855431993156544,0.00142571998859424,8.134537595383664,0.0013297872340425532,0.0013297872340425532,0.002
16,8.134402914947344,0.000855431993156544,0.001996007984031936,8.134255835350524,0.0013297872340425532,0.0013297872340425532,0.002
17,8.133763015797106,0.000855431993156544,0.0022811519817507843,8.134624156546085,0.0013297872340425532,0.0013297872340425532,0.002
18,8.133114493059779,0.0005702879954376961,0.00142571998859424,8.13484149283551,0.0013297872340425532,0.0013297872340425532,0.002
19,8.133568024071051,0.0005702879954376961,0.001710863986313088,8.134962447146153,0.0013297872340425532,0.0013297872340425532,0.002
20,8.134662879441313,0.000855431993156544,0.001710863986313088,8.13508877855666,0.0013297872340425532,0.0013297872340425532,0.002
21,8.131993509134336,0.000855431993156544,0.001710863986313088,8.135057002940076,0.0013297872340425532,0.0013297872340425532,0.002
22,8.131481602758228,0.000855431993156544,0.0025662959794696323,8.135386872798838,0.0013297872340425532,0.0013297872340425532,0.002
23,8.131523582103894,0.0005702879954376961,0.001710863986313088,8.135406940541369,0.0013297872340425532,0.0013297872340425532,0.002
24,8.131185559081596,0.000855431993156544,0.001996007984031936,8.135593698379841,0.0013297872340425532,0.0013297872340425532,0.002
25,8.130992412703106,0.000855431993156544,0.001996007984031936,8.135679042085687,0.0013297872340425532,0.0013297872340425532,0.002
26,8.130843826056818,0.000855431993156544,0.0022811519817507843,8.1359415865959,0.0013297872340425532,0.0013297872340425532,0.002
27,8.130600665483781,0.000855431993156544,0.001710863986313088,8.136250150964615,0.0013297872340425532,0.0013297872340425532,0.002
28,8.13095457220064,0.000855431993156544,0.0022811519817507843,8.135826110839844,0.0013297872340425532,0.0013297872340425532,0.002
29,8.130190239898969,0.000855431993156544,0.00142571998859424,8.136465336414094,0.0013297872340425532,0.0013297872340425532,0.002
