epoch,lr,train_loss,train_accuracy,train_top5_accuracy,val_loss,val_accuracy,val_top5_accuracy
1,0.001,8.190591495602023,0.0,0.0,8.131887801150059,0.0,0.0
2,0.001,8.138365992460965,0.0,0.000855431993156544,8.132196466973488,0.0,0.0013297872340425532
3,0.001,8.138135276970647,0.0005702879954376961,0.00142571998859424,8.131829829926186,0.0,0.0013297872340425532
4,0.001,8.1382368330878,0.0005702879954376961,0.0025662959794696323,8.131884371980707,0.0013297872340425532,0.0013297872340425532
5,0.001,8.13820407014645,0.00028514399771884804,0.0025662959794696323,8.132087524901046,0.0013297872340425532,0.0013297872340425532
6,0.001,8.138114850882081,0.00028514399771884804,0.0025662959794696323,8.132021051772098,0.0013297872340425532,0.0013297872340425532
7,0.001,8.137967047951042,0.000855431993156544,0.0022811519817507843,8.132084379804896,0.0013297872340425532,0.0013297872340425532
8,0.001,8.137974038027547,0.000855431993156544,0.003136583974907328,8.131948389905565,0.0013297872340425532,0.0013297872340425532
9,0.0005,8.137910724875931,0.000855431993156544,0.0022811519817507843,8.131994348891238,0.0013297872340425532,0.0013297872340425532
10,0.0005,8.135868631063243,0.000855431993156544,0.0025662959794696323,8.132044508102092,0.0013297872340425532,0.0013297872340425532
11,0.0005,8.135837831760968,0.000855431993156544,0.00285143997718848,8.132079144741626,0.0013297872340425532,0.0013297872340425532
12,0.0005,8.13582676946522,0.000855431993156544,0.00285143997718848,8.132066057083454,0.0013297872340425532,0.0013297872340425532
13,0.0005,8.135818325354906,0.000855431993156544,0.00285143997718848,8.132140220479762,0.0013297872340425532,0.0013297872340425532
14,0.00025,8.135757643713514,0.000855431993156544,0.0025662959794696323,8.131952306057544,0.0013297872340425532,0.0013297872340425532
15,0.00025,8.134732931673884,0.000855431993156544,0.00285143997718848,8.132087951010845,0.0013297872340425532,0.0013297872340425532
16,0.00025,8.13465099998237,0.000855431993156544,0.0025662959794696323,8.132071961747839,0.0013297872340425532,0.0013297872340425532
17,0.00025,8.134697482835406,0.000855431993156544,0.003136583974907328,8.132192916058479,0.0013297872340425532,0.0013297872340425532
18,0.00025,8.134707390225303,0.000855431993156544,0.0025662959794696323,8.132155174904682,0.0013297872340425532,0.0013297872340425532
19,0.000125,8.134656699457704,0.000855431993156544,0.003136583974907328,8.132258090567081,0.0013297872340425532,0.0013297872340425532
20,0.000125,8.13417429335273,0.000855431993156544,0.00285143997718848,8.132274830594977,0.0013297872340425532,0.0013297872340425532
21,0.000125,8.134182081557014,0.000855431993156544,0.00285143997718848,8.132335155568224,0.0013297872340425532,0.0013297872340425532
22,0.000125,8.13415378622768,0.000855431993156544,0.003136583974907328,8.132326613081263,0.0013297872340425532,0.0013297872340425532
23,0.000125,8.134097971126229,0.000855431993156544,0.0025662959794696323,8.132270752115453,0.0013297872340425532,0.0013297872340425532
24,6.25e-05,8.134146142148685,0.000855431993156544,0.00285143997718848,8.13229100247647,0.0013297872340425532,0.0013297872340425532
25,6.25e-05,8.133905150525278,0.000855431993156544,0.00285143997718848,8.132340106558292,0.0013297872340425532,0.0013297872340425532
26,6.25e-05,8.133885347982536,0.000855431993156544,0.00285143997718848,8.132329352358555,0.0013297872340425532,0.0013297872340425532
27,6.25e-05,8.133891299269225,0.000855431993156544,0.00285143997718848,8.132372064793364,0.0013297872340425532,0.0013297872340425532
28,6.25e-05,8.133869244564895,0.000855431993156544,0.00285143997718848,8.132342034197869,0.0013297872340425532,0.0013297872340425532
29,3.125e-05,8.133885243559686,0.000855431993156544,0.00285143997718848,8.13235120570406,0.0013297872340425532,0.0013297872340425532
30,3.125e-05,8.133742864090458,0.000855431993156544,0.0025662959794696323,8.132327100063891,0.0013297872340425532,0.0013297872340425532
31,3.125e-05,8.133744303711739,0.000855431993156544,0.00285143997718848,8.13232736384615,0.0013297872340425532,0.0013297872340425532
32,3.125e-05,8.133762452620742,0.000855431993156544,0.00285143997718848,8.132368006604784,0.0013297872340425532,0.0013297872340425532
33,3.125e-05,8.133756999790005,0.000855431993156544,0.003136583974907328,8.13238776998317,0.0013297872340425532,0.0013297872340425532
34,1.5625e-05,8.133736385250826,0.000855431993156544,0.0025662959794696323,8.132387810565056,0.0013297872340425532,0.0013297872340425532
35,1.5625e-05,8.133683778976557,0.000855431993156544,0.003136583974907328,8.132387404746197,0.0013297872340425532,0.0013297872340425532
