epoch,train_loss,train_acc,val_loss,val_acc
1,8.157382649371927,0.0,8.128786350818391,0.0013297872340425532
2,8.105998413971356,0.0005702879954376961,7.963467861743683,0.0
3,7.88774977663082,0.003992015968063872,7.590481068225617,0.0026595744680851063
4,7.306394795389776,0.013972055888223553,6.920405651660675,0.014627659574468085
5,6.515514476434573,0.03136583974907328,6.30336919743964,0.0398936170212766
6,5.663799902500167,0.06273167949814656,5.6459943284379674,0.09308510638297872
7,4.880616853473056,0.11149130310806958,5.137956172861951,0.15691489361702127
8,4.126118379200766,0.17536355859709152,4.771796256937879,0.2393617021276596
9,3.4653237598860813,0.24750499001996007,4.463308040131914,0.32845744680851063
10,2.8209543805330406,0.35129740518962077,4.317157430851713,0.35771276595744683
11,2.401982524913704,0.40889649272882805,4.183534967138412,0.41356382978723405
12,1.9740008028409473,0.4947248360422013,4.282226085662842,0.4175531914893617
13,1.6316541293967917,0.5739948674080411,4.135333568491834,0.4627659574468085
14,1.3703097698863225,0.628457370972341,4.24074048184334,0.47074468085106386
15,1.119049754821238,0.6920444824636441,4.254086250954486,0.49069148936170215
16,1.0351768673605004,0.7060165383518677,4.245743944289837,0.5053191489361702
17,0.8745272458024538,0.756201881950385,4.353946148081029,0.4973404255319149
18,0.732219736656641,0.7984031936127745,4.317984043283666,0.5026595744680851
19,0.6654437304494861,0.8098089535215284,4.419483813833683,0.5159574468085106
20,0.5801562391559317,0.8408896492728828,4.4828963786997695,0.5039893617021277
21,0.5342704881655038,0.8440262332477901,4.504921537764529,0.5159574468085106
22,0.4849298445585959,0.8560022811519817,4.536785440242037,0.5332446808510638
23,0.4625437166111606,0.8656971770744226,4.415171694248281,0.5252659574468085
24,0.3630952442137645,0.8953521528371827,4.631065388943287,0.5345744680851063
25,0.3642244577951706,0.8925007128599943,4.679880852394915,0.5252659574468085
26,0.35971563872951606,0.8887938408896493,4.647886438572661,0.5279255319148937
27,0.31738226395711144,0.9076133447390933,4.704370417493455,0.5345744680851063
28,0.31580490838403813,0.9033361847733106,4.804434198014279,0.538563829787234
29,0.2712590836130862,0.9187339606501284,4.9897897091317684,0.5412234042553191
30,0.2742215867290002,0.9178785286569717,4.9645450977568935,0.5319148936170213
31,0.25278445431553115,0.9235814086113487,5.119843280061763,0.538563829787234
32,0.26185900649352734,0.9238665526090676,5.139773551453936,0.5398936170212766
33,0.2317612353815358,0.9272882805816938,5.163871440481632,0.5279255319148937
34,0.22478734695923305,0.9327060165383518,5.169608339350274,0.5412234042553191
35,0.17231710097508993,0.9503849443969205,5.057655375054542,0.5545212765957447
