epoch,loss,accuracy
1,4.401525783538818,0.0
2,4.383630657196045,0.0
3,4.378990745544433,0.0125
4,4.3743141174316404,0.05
5,4.3618974685668945,0.0625
6,4.336445713043213,0.05
7,4.25274772644043,0.05
8,4.04089093208313,0.1
9,3.6764524936676026,0.2125
10,3.183937501907349,0.3375
11,2.6887070655822756,0.5375
12,2.129545497894287,0.725
13,1.5842283487319946,0.8875
14,1.094217550754547,0.9625
