epoch,train_loss,val_loss,val_wer,val_accuracy,lr
1,9.387756200769733,5.603434187300662,1.0,0.0,0.0003
2,5.715986579877611,5.095545880337979,0.9534072900158479,0.0,0.0003
3,5.305049441708066,4.764787826132267,0.8450079239302695,0.0,0.0003
4,4.984077375273805,4.509984259909772,0.8370839936608557,0.0,0.0003
5,4.72507899785409,4.305809964524939,0.7870047543581616,0.0,0.0003
6,4.511440842884714,4.17834524905428,0.7949286846275753,0.0,0.0003
7,4.347836865198252,4.062224200431337,0.7632329635499208,0.0,0.0003
8,4.204280516520542,4.0022171811854585,0.7461172741679873,0.0,0.0003
9,4.070306324781994,3.857449450391404,0.712202852614897,0.0,0.0003
10,3.9374274328920547,3.752926603276679,0.7011093502377179,0.0013297872340425532,0.0003
11,3.8093128889816117,3.699490121070375,0.6928684627575278,0.0,0.0003
12,3.7151693778247474,3.6816025338274367,0.698256735340729,0.0,0.0003
13,3.6045119339441887,3.576613573317832,0.6801901743264659,0.0013297872340425532,0.0003
14,3.5027270255874923,3.5188280267918364,0.6719492868462758,0.0,0.0003
15,3.393257229517204,3.4814687434663165,0.6630744849445325,0.0013297872340425532,0.0003
16,3.314017680190457,3.474763129619842,0.6732171156893819,0.0026595744680851063,0.0003
17,3.21431975002909,3.405861342206914,0.6637083993660856,0.0013297872340425532,0.0003
18,3.1234058674172,3.424309253692627,0.659904912836767,0.005319148936170213,0.0003
19,3.0263536883570166,3.3168730786506164,0.6456418383518225,0.009308510638297872,0.0003
20,2.937260854060624,3.3603286134435777,0.6440570522979397,0.006648936170212766,0.0003
21,2.852251717517938,3.3010426024173167,0.631378763866878,0.009308510638297872,0.0003
22,2.754787026169772,3.2845131336374487,0.6358161648177496,0.009308510638297872,0.0003
23,2.681125131390534,3.2633305407584983,0.6326465927099841,0.006648936170212766,0.0003
24,2.589824196276363,3.240615520071476,0.6269413629160063,0.005319148936170213,0.0003
25,2.5086952687941886,3.2368510428895343,0.6225039619651347,0.006648936170212766,0.0003
