epoch,train_loss,train_ctc_loss,train_attn_loss,val_loss,val_wer,val_sentence_accuracy,lr
1,6.767923072366154,11.192334475797765,4.871746611875646,4.38091839654105,0.8217687074829932,0.0,0.0003
2,4.60726063784431,5.8530131171731385,4.073366652096019,4.138448281969343,0.8761904761904762,0.0,0.0003
3,4.222457594030043,5.61813798455631,3.6243087336596322,3.81322779246739,0.8721088435374149,0.0,0.0003
4,3.847113397261676,5.383448757844813,3.1886838649300966,3.586209328515189,0.9238095238095239,0.0,0.0003
5,3.5152582303215474,5.138029338612276,2.819784856123083,3.402060000555856,0.8993197278911564,0.0,0.00015
6,3.2314675735024845,4.933515074112836,2.5020185880100025,3.3006148420061385,0.9346938775510204,0.0,0.00015
7,3.0897896676905017,4.831763669182273,2.343229345433852,3.2239986106327603,0.9306122448979591,0.0,0.00015
8,2.9554981209250055,4.728821640014648,2.195502283993889,3.185477681841169,0.9170068027210885,0.0,0.00015
9,2.839666929244995,4.627834233676686,2.0733094672595755,3.11984835760934,0.9020408163265307,0.0,7.5e-05
10,2.726593740126666,4.532377000696519,1.9526865709529204,3.0968458475385394,0.9619047619047619,0.0,7.5e-05
11,2.6610672602934,4.476985753003289,1.8828164190404555,3.076132640838623,0.9836734693877551,0.0,7.5e-05
12,2.6084401725320254,4.424341536129222,1.8301967082304114,3.0604525007520405,0.9918367346938776,0.0,7.5e-05
13,2.5620672282050636,4.383507427327773,1.781449964467217,3.034949722290039,1.0122448979591836,0.0,3.75e-05
14,2.506806541891659,4.319329541150261,1.7300109080707327,3.0236704104287284,1.0122448979591836,0.0,3.75e-05
15,2.48096523958094,4.289134672950296,1.706035413461573,3.016690101623535,0.9959183673469387,0.0,3.75e-05
16,2.455915282754337,4.265297306285185,1.6804657980974982,3.000507871082851,1.0013605442176872,0.0,3.75e-05
17,2.4308990428026984,4.23795778835521,1.6564452855727252,2.9935933671678816,0.9931972789115646,0.0,1.875e-05
18,2.397114200031056,4.207615928649902,1.6211848483366125,2.984296706063407,0.9809523809523809,0.0,1.875e-05
19,2.385294087353875,4.192304624669692,1.6108609634287216,2.9818332958221436,0.9755102040816327,0.0,1.875e-05
20,2.3705407490449795,4.181877275915707,1.5942536477481617,2.9769302490779332,0.9687074829931973,0.0,1.875e-05
