epoch,train_loss,val_loss,val_wer,val_sentence_acc
1,8.414291610598088,5.981636290854596,0.9730927508705286,0.0
2,5.419413366932496,5.641248469657087,0.9142133586578031,0.0
3,4.9917082272457245,5.467033163030097,0.8436213991769548,0.0
4,4.658606133730291,5.187293225146354,0.8163975941753719,0.0
5,4.403318472882373,5.071431504919174,0.8056346945235834,0.0
6,4.159516245449739,5.170448901805472,0.7739791073124407,0.0
7,3.925039197401666,5.061496927383098,0.7458056346945235,0.0
8,3.7042039810285114,5.051067291422093,0.7325102880658436,0.0
9,3.4585943028917328,5.012193273990713,0.7185818296929408,0.0013297872340425532
10,3.20435442124784,5.084287704305446,0.7065527065527065,0.0026595744680851063
11,2.987975458383424,5.1147169863924065,0.6986388097499209,0.003989361702127659
12,2.7354833941016277,5.249297060865037,0.685343463121241,0.0026595744680851063
13,2.520375982802457,5.405975615724604,0.6888255777144666,0.003989361702127659
14,2.296257734026694,5.529306614652593,0.686926242481798,0.009308510638297872
15,2.091579278672823,5.628167548078172,0.6641342196897753,0.011968085106382979
16,1.8989732430039714,5.807595476191095,0.663184552073441,0.010638297872340425
17,1.70915836480027,5.951628827034159,0.6581196581196581,0.015957446808510637
18,1.5293309842934966,6.1643721600796315,0.6603355492244382,0.011968085106382979
19,1.3913173385164226,6.348489294660852,0.6533713200379867,0.023936170212765957
20,1.2454080252530435,6.501612318323014,0.6581196581196581,0.030585106382978722
21,1.1304689193547146,6.741281793472615,0.6495726495726496,0.022606382978723406
22,1.0102273147920846,6.903932165592275,0.6505223171889839,0.02127659574468085
23,0.9318445744816398,7.06363918426189,0.6511554289332067,0.022606382978723406
24,0.8320535075576116,7.002136676869494,0.6460905349794238,0.02127659574468085
25,0.7730020872198781,7.331401074186284,0.6369104146881924,0.027925531914893616
26,0.6979543552763178,7.386343671920452,0.6467236467236467,0.027925531914893616
27,0.6398638262452225,7.483370557744452,0.6403925292814182,0.02526595744680851
28,0.5925414582286231,7.689192792202564,0.6400759734093068,0.027925531914893616
29,0.5320849732814077,7.7968470390806806,0.6419753086419753,0.02526595744680851
30,0.5040859065257136,7.785673811080608,0.6343779677113011,0.03723404255319149
31,0.48254803671404356,7.8899306439338845,0.6359607470718582,0.030585106382978722
32,0.44405804313528013,8.004369583535702,0.6283634061411839,0.030585106382978722
33,0.42463449286312904,8.072127413242422,0.6318455207344096,0.027925531914893616
34,0.3981745922762669,8.177676180575757,0.630579297245964,0.030585106382978722
35,0.3704465212851882,8.186915113570842,0.632162076606521,0.02925531914893617
