epoch,train_loss,train_ctc,train_attn,val_loss,val_ctc_wer,val_attn_wer,val_ctc_exact,val_attn_exact
1,3.3629643589309195,2.3765187018677905,4.34941003653096,3.177187889180285,0.6164817749603804,0.7055467511885896,0.007978723404255319,0.0
2,2.7247945892423204,2.2972476228060073,3.152341587232034,2.935790072096155,0.6158478605388272,0.6995245641838351,0.007978723404255319,0.0026595744680851063
3,2.431303676032911,2.2477431414267435,2.614864215943314,2.794800930834831,0.6063391442155309,0.6732171156893819,0.005319148936170213,0.005319148936170213
4,2.2132627410475214,2.209890045578386,2.2166354512733117,2.7192416038919003,0.6047543581616481,0.6748019017432647,0.006648936170212766,0.0199468085106383
5,2.0293849020499333,2.1634903669493304,1.8952794654397915,2.659168953591205,0.6,0.6690966719492868,0.009308510638297872,0.010638297872340425
6,1.8859125628718905,2.1364640554427012,1.6353610724771763,2.6054275999677943,0.6003169572107765,0.6608557844690967,0.007978723404255319,0.014627659574468085
7,1.7600489232585013,2.095349502373068,1.424748346932058,2.5952054541161718,0.6025356576862123,0.6453248811410459,0.007978723404255319,0.018617021276595744
8,1.6544079254235258,2.05825270697925,1.250563145499874,2.5748031367646886,0.5939778129952457,0.6602218700475436,0.007978723404255319,0.011968085106382979
9,1.5659292971006613,2.0229760855181316,1.1088825234398458,2.5507224113383193,0.5920760697305864,0.6297939778129953,0.007978723404255319,0.018617021276595744
10,1.491184088004635,1.9908105192766554,0.9915576517683944,2.5440902405596795,0.5939778129952457,0.6247226624405705,0.007978723404255319,0.02526595744680851
11,1.4241953489104475,1.9599881475473633,0.8884025556457702,2.539922536687648,0.5904912836767037,0.6405705229793978,0.007978723404255319,0.017287234042553192
12,1.3654306352444532,1.923430522033574,0.8074307386628982,2.546997823613755,0.596513470681458,0.6437400950871632,0.009308510638297872,0.023936170212765957
13,1.3134382321912088,1.890610250757547,0.7362662021323605,2.54387850964323,0.5923930269413629,0.6320126782884311,0.010638297872340425,0.017287234042553192
14,1.2618200497428689,1.8528744078199317,0.6707656862595662,2.537303424896078,0.5914421553090333,0.6247226624405705,0.010638297872340425,0.026595744680851064
15,1.1944845036241714,1.797280882809819,0.5916881268526307,2.5193990646524633,0.5816164817749604,0.6076069730586371,0.010638297872340425,0.022606382978723406
16,1.1672183109975447,1.7778652635765837,0.5565713497821223,2.5224812436611095,0.5790808240887481,0.6161648177496039,0.014627659574468085,0.022606382978723406
17,1.1452338472476227,1.7609295495496229,0.5295381414774685,2.522178944121016,0.5822503961965134,0.6171156893819334,0.013297872340425532,0.0199468085106383
18,1.1238185476726352,1.738269075827808,0.5093680285618636,2.5253262164744923,0.5787638668779714,0.6253565768621236,0.014627659574468085,0.0199468085106383
19,1.1024839164050593,1.7195544146294601,0.4854134205947654,2.531056622241406,0.5806656101426307,0.6247226624405705,0.013297872340425532,0.018617021276595744
20,1.072437278352597,1.6910814000617689,0.4537931495711114,2.522516339383227,0.5800316957210776,0.6164817749603804,0.014627659574468085,0.017287234042553192
